,gia
1/1/2017,320
2/1/2017,320
3/1/2017,300
4/1/2017,300
5/1/2017,392
6/1/2017,392
7/1/2017,318
8/1/2017,277
9/1/2017,277
10/1/2017,277
11/1/2017,277
12/1/2017,215
1/1/2018,195
2/1/2018,197
3/1/2018,236
4/1/2018,199
5/1/2018,198
6/1/2018,227
7/1/2018,227
8/1/2018,227
9/1/2018,265
10/1/2018,311
11/1/2018,668
12/1/2018,602
1/1/2019,602
2/1/2019,559
3/1/2019,462
4/1/2019,435
5/1/2019,359
6/1/2019,413
7/1/2019,417
8/1/2019,394
9/1/2019,411
10/1/2019,380
11/1/2019,357
12/1/2019,326
1/1/2020,311
2/1/2020,492
3/1/2020,455
4/1/2020,456
5/1/2020,499
6/1/2020,492
7/1/2020,488
8/1/2020,480
9/1/2020,478
10/1/2020,488
11/1/2020,476
12/1/2020,465
1/1/2021,469
2/1/2021,462
3/1/2021,470
4/1/2021,484
5/1/2021,503
6/1/2021,484
7/1/2021,504
8/1/2021,469
9/1/2021,476
10/1/2021,488
11/1/2021,504
12/1/2021,504
1/1/2022,494
2/1/2022,512
3/1/2022,557
4/1/2022,579
5/1/2022,425
6/1/2022,522.389583
7/1/2022,513.421001
8/1/2022,488.1363
9/1/2022,502.074733
10/1/2022,508.989434
11/1/2022,595.610465
