,gia
3/1/2017,99
4/1/2017,83
5/1/2017,73
6/1/2017,136
7/1/2017,123
8/1/2017,122
9/1/2017,125
10/1/2017,123
11/1/2017,127
12/1/2017,116
1/1/2018,124
2/1/2018,121
3/1/2018,113
4/1/2018,126
5/1/2018,138
6/1/2018,137
7/1/2018,136
8/1/2018,139
9/1/2018,153
10/1/2018,150
11/1/2018,143
12/1/2018,152
1/1/2019,160
2/1/2019,161
3/1/2019,207
4/1/2019,215
5/1/2019,222
6/1/2019,222
7/1/2019,221
8/1/2019,221
9/1/2019,283
10/1/2019,284
11/1/2019,258
12/1/2019,247
1/1/2020,246
2/1/2020,242
3/1/2020,209
4/1/2020,207
5/1/2020,215
6/1/2020,226
7/1/2020,226
8/1/2020,229
9/1/2020,227
10/1/2020,226
11/1/2020,230
12/1/2020,230
1/1/2021,229
2/1/2021,231
3/1/2021,232
4/1/2021,236
5/1/2021,238
6/1/2021,242
7/1/2021,240
8/1/2021,233
9/1/2021,239
10/1/2021,239
11/1/2021,283
12/1/2021,237
1/1/2022,245
2/1/2022,242
3/1/2022,232
4/1/2022,224
5/1/2022,215
6/1/2022,249.646727
7/1/2022,245.850832
8/1/2022,245.0912
9/1/2022,261.299342
10/1/2022,259.930185
11/1/2022,253.143087
