quan,thang,nam,gia,loaibds
1,1,2017,0,1
1,2,2017,0,1
1,3,2017,99,1
1,4,2017,83,1
1,5,2017,73,1
1,6,2017,136,1
1,7,2017,123,1
1,8,2017,122,1
1,9,2017,125,1
1,10,2017,123,1
1,11,2017,127,1
1,12,2017,116,1
1,1,2018,124,1
1,2,2018,121,1
1,3,2018,113,1
1,4,2018,126,1
1,5,2018,138,1
1,6,2018,137,1
1,7,2018,136,1
1,8,2018,139,1
1,9,2018,153,1
1,10,2018,150,1
1,11,2018,143,1
1,12,2018,152,1
1,1,2019,160,1
1,2,2019,161,1
1,3,2019,207,1
1,4,2019,215,1
1,5,2019,222,1
1,6,2019,222,1
1,7,2019,221,1
1,8,2019,221,1
1,9,2019,283,1
1,10,2019,284,1
1,11,2019,258,1
1,12,2019,247,1
1,1,2020,246,1
1,2,2020,242,1
1,3,2020,209,1
1,4,2020,207,1
1,5,2020,215,1
1,6,2020,226,1
1,7,2020,226,1
1,8,2020,229,1
1,9,2020,227,1
1,10,2020,226,1
1,11,2020,230,1
1,12,2020,230,1
1,1,2021,229,1
1,2,2021,231,1
1,3,2021,232,1
1,4,2021,236,1
1,5,2021,238,1
1,6,2021,242,1
1,7,2021,240,1
1,8,2021,233,1
1,9,2021,239,1
1,10,2021,239,1
1,11,2021,283,1
1,12,2021,237,1
1,1,2022,245,1
1,2,2022,242,1
1,3,2022,232,1
1,4,2022,224,1
1,5,2022,215,1
2,1,2017,0,1
2,2,2017,0,1
2,3,2017,0,1
2,4,2017,50,1
2,5,2017,42,1
2,6,2017,45,1
2,7,2017,45,1
2,8,2017,45,1
2,9,2017,45,1
2,10,2017,43,1
2,11,2017,43,1
2,12,2017,45,1
2,1,2018,39,1
2,2,2018,39,1
2,3,2018,45,1
2,4,2018,50,1
2,5,2018,50,1
2,6,2018,49,1
2,7,2018,51,1
2,8,2018,51,1
2,9,2018,50,1
2,10,2018,52,1
2,11,2018,52,1
2,12,2018,54,1
2,1,2019,54,1
2,2,2019,56,1
2,3,2019,61,1
2,4,2019,62,1
2,5,2019,68,1
2,6,2019,70,1
2,7,2019,76,1
2,8,2019,79,1
2,9,2019,75,1
2,10,2019,76,1
2,11,2019,72,1
2,12,2019,74,1
2,1,2020,72,1
2,2,2020,72,1
2,3,2020,73,1
2,4,2020,71,1
2,5,2020,73,1
2,6,2020,70,1
2,7,2020,72,1
2,8,2020,72,1
2,9,2020,73,1
2,10,2020,73,1
2,11,2020,75,1
2,12,2020,75,1
2,1,2021,76,1
2,2,2021,76,1
2,3,2021,76,1
2,4,2021,78,1
2,5,2021,79,1
2,6,2021,81,1
2,7,2021,83,1
2,8,2021,84,1
2,9,2021,85,1
2,10,2021,88,1
2,11,2021,91,1
2,12,2021,91,1
2,1,2022,91,1
2,2,2022,92,1
2,3,2022,91,1
2,4,2022,89,1
2,5,2022,85,1
3,1,2017,123,1
3,2,2017,123,1
3,3,2017,108,1
3,4,2017,98,1
3,5,2017,91,1
3,6,2017,91,1
3,7,2017,99,1
3,8,2017,96,1
3,9,2017,97,1
3,10,2017,98,1
3,11,2017,99,1
3,12,2017,103,1
3,1,2018,96,1
3,2,2018,102,1
3,3,2018,106,1
3,4,2018,109,1
3,5,2018,117,1
3,6,2018,120,1
3,7,2018,126,1
3,8,2018,128,1
3,9,2018,133,1
3,10,2018,134,1
3,11,2018,134,1
3,12,2018,146,1
3,1,2019,148,1
3,2,2019,148,1
3,3,2019,152,1
3,4,2019,159,1
3,5,2019,161,1
3,6,2019,162,1
3,7,2019,204,1
3,8,2019,202,1
3,9,2019,204,1
3,10,2019,206,1
3,11,2019,204,1
3,12,2019,204,1
3,1,2020,283,1
3,2,2020,184,1
3,3,2020,180,1
3,4,2020,179,1
3,5,2020,181,1
3,6,2020,183,1
3,7,2020,179,1
3,8,2020,181,1
3,9,2020,189,1
3,10,2020,188,1
3,11,2020,190,1
3,12,2020,191,1
3,1,2021,192,1
3,2,2021,193,1
3,3,2021,195,1
3,4,2021,197,1
3,5,2021,196,1
3,6,2021,194,1
3,7,2021,195,1
3,8,2021,195,1
3,9,2021,196,1
3,10,2021,196,1
3,11,2021,196,1
3,12,2021,187,1
3,1,2022,189,1
3,2,2022,187,1
3,3,2022,184,1
3,4,2022,182,1
3,5,2022,178,1
4,1,2017,82,1
4,2,2017,82,1
4,3,2017,65,1
4,4,2017,54,1
4,5,2017,58,1
4,6,2017,61,1
4,7,2017,67,1
4,8,2017,69,1
4,9,2017,69,1
4,10,2017,68,1
4,11,2017,68,1
4,12,2017,70,1
4,1,2018,66,1
4,2,2018,61,1
4,3,2018,61,1
4,4,2018,64,1
4,5,2018,70,1
4,6,2018,70,1
4,7,2018,71,1
4,8,2018,76,1
4,9,2018,78,1
4,10,2018,78,1
4,11,2018,75,1
4,12,2018,76,1
4,1,2019,77,1
4,2,2019,73,1
4,3,2019,77,1
4,4,2019,85,1
4,5,2019,91,1
4,6,2019,97,1
4,7,2019,94,1
4,8,2019,98,1
4,9,2019,147,1
